Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1,0.02008950020359265,9.102120956970555,-106.611322039023
1.079775162327709,-0.01530740526485423,9.747602763338156,-108.9833670643207
1.165914401179831,0.04578409970673907,10.25110539636773,-109.3251484464303
1.258925411794166,0.03197175868855581,10.74996749424773,-111.4401846127344
1.359356390878524,0.03919244727651429,11.36986752015971,-112.4176705576395
1.467799267622071,0.03083088384718736,11.95954555068851,-113.5258514888781
1.584893192461114,0.01950176592552465,12.45756686506594,-115.9862526335924
1.711328304161781,0.04203529035930323,13.04712590141369,-117.6911121349679
1.847849797422291,0.01925936511081713,13.58800857742324,-119.2906329669797
1.995262314968883,-0.03389786396342968,14.13002245067452,-120.5151306532306
2.154434690031882,0.03078739670638158,14.56053943282292,-123.2806139081502
2.326305067153629,0.01584955167596195,14.94104879192243,-125.0268757572772
2.511886431509577,0.015274129028597,15.44435414833698,-126.5610268421139
2.71227257933203,0.01535987258742963,15.82883092241757,-129.2454485507397
2.928644564625238,0.01737828990197243,16.24142790217737,-131.5815502750821
3.16227766016838,0.02204766744631461,16.58210810547112,-132.9690552795667
3.414548873833601,0.02020907722264707,16.86835018097405,-135.4293899389261
3.686945064519574,0.02421037460419379,17.2588130301873,-137.3861154799772
3.98107170553497,0.01656516720901929,17.56126343474898,-140.304016041454
4.298662347082282,0.02241743940431122,17.76060537123667,-141.8414449734253
4.641588833612773,0.0166869248782954,18.05044727746553,-144.3345451636884
5.011872336272726,0.0299696801737792,18.28925237615466,-145.9815633193444
5.411695265464638,0.04682940129587705,18.48406141685896,-148.1636114285158
5.843414133735176,-0.0004646891365372137,18.64476625596844,-149.7569607143502
6.30957344480193,0.02003882200430334,18.85524587815774,-151.9349858701052
6.81292069057961,0.02068582697841434,19.00192463529493,-153.1018276938271
7.356422544596422,0.02361031964310289,19.10672520383259,-155.1517099615139
7.943282347242807,0.00686808051073986,19.22400080799071,-156.9584193777136
8.576958985908947,0.03461836877100784,19.31047785360125,-158.4265305281509
9.261187281287938,0.02404496591407568,19.36198667516551,-159.9213272379006
10,0.01099545765654993,19.49667079894156,-161.2950138775525
10.7977516232771,0.01520973253573584,19.48505241298487,-162.7171905206237
11.65914401179833,0.02141615849697399,19.56917672192556,-163.6664837471299
12.58925411794166,0.01008595222656977,19.60633206980969,-165.1746078736898
13.59356390878526,0.008762463795020482,19.70925447852327,-166.0372635268132
14.67799267622071,0.04220602022481077,19.67401219124994,-166.8048956976402
15.84893192461114,0.00840198873740591,19.71629013920322,-168.273918277756
17.11328304161781,0.01258140397368409,19.7431945770623,-169.4832034263995
18.47849797422293,0.02993881083318616,19.7700672327979,-169.5833392195438
19.95262314968879,0.02073850404599592,19.82933625165274,-170.6134338123452
21.54434690031882,0.03540821308335527,19.80761810668797,-171.652809141943
23.26305067153627,0.0328251847979945,19.83753362566259,-171.6892671720082
25.11886431509583,0.01678091321678339,19.8162847533597,-172.3120368017062
27.12272579332027,0.02374216428787057,19.95856656582477,-173.4802928036378
29.28644564625238,0.02506532298559523,19.90569085119102,-173.5120480092253
31.6227766016838,0.03574991656760498,19.89697218985076,-173.9499729536202
34.14548873833601,0.03106276385411554,19.90927404043127,-174.4776520380519
36.86945064519578,0.02809292484599751,19.90942845448723,-174.9258553418587
39.81071705534978,0.02044488331960203,19.94392317500833,-175.1926047263983
42.98662347082277,-0.7048107769589256,20.71092793752104,-175.0070879560585
46.41588833612773,-0.9374385508560938,20.98528788139423,-163.1896376720316
50.11872336272726,-1.125550461028402,21.18856347251874,170.1216484249588
54.11695265464638,-0.5392378450040149,20.573404821107,-162.8692601310659
58.43414133735176,-0.01187708385305242,19.99057905039297,-169.3482945963615
63.09573444801931,-0.2009878294058595,20.18263938918236,-176.8521287421136
68.12920690579617,0.02300786418094647,19.95866873144519,-177.734357160295
73.56422544596407,0.02680638584691539,19.95142292781439,-177.8688169667123
79.43282347242814,-0.004307127123923117,19.99132858119535,-177.9294542099386
85.76958985908948,-0.185046771701592,20.19722581856079,-168.6239790644986
92.6118728128794,2.99757703140394,16.74718431132472,172.668031174546
100,3.201324157578088,16.50502793240359,-168.4388483949953
107.9775162327711,0.8138999045723663,19.20185826237993,154.6580422433887
116.5914401179831,1.735288385091587,18.11655352496109,173.8882510898235
125.8925411794166,-0.3323997321411194,20.35403513410625,-176.1471027681897
135.9356390878527,0.444461470946324,19.53356523831247,-179.4611034711185
146.7799267622071,-0.1718922753204238,20.1874577336639,176.734336661824
158.4893192461113,0.4986693019115022,19.46547085116106,178.3656762129663
171.1328304161781,-0.4518194270975546,20.47515297503636,178.8470718687069
184.7849797422291,0.1667960475052857,19.83105591938056,-166.689738025851
199.5262314968879,1.541195853603481,18.34033308631627,-172.2873295781993
215.4434690031885,0.9086042920380871,19.059182395549,167.6688856272143
232.6305067153629,-0.8413272360273776,20.93758905705471,-177.9560172223605
251.188643150958,0.2422790465835082,19.73914494018603,-177.7119131679258
271.227257933203,0.5655754117651448,19.3691868909573,-178.9262745555419
292.8644564625238,0.6552243543421089,19.30215377344171,-179.144705373398
316.227766016838,0.4686690491967904,19.50410560997108,-179.3112340848019
341.4548873833605,-0.6275188759995516,20.67835100409978,174.0692956672176
368.6945064519574,-1.336359136747885,21.46686202986527,179.4576504103213
398.1071705534974,1.168027443755397,18.76421443830409,172.8268852762897
429.8662347082273,-0.404644267909772,20.42463210185988,172.4995797340729
464.1588833612778,0.553652137733246,19.41502062365006,172.9904169088681
