Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1,0.002142867557288563,9.155783762588229,-107.5962596847613
1.079775162327709,0.02750120857261243,9.72852048282807,-108.9635920535296
1.165914401179831,0.009480718786387786,10.30236552093413,-109.8170415976769
1.258925411794166,-0.0004253106119297774,10.97802399584234,-111.5197805590501
1.359356390878524,0.01074185413002844,11.50051408916959,-112.7070698729198
1.467799267622071,0.02462270406692955,12.01092796444432,-114.6873266548192
1.584893192461114,0.04121934330973608,12.59268047087276,-115.8922758480766
1.711328304161781,0.0130761170906085,13.09293235520058,-117.5595301421439
1.847849797422291,0.01883823794214829,13.59770370648211,-119.4291897100458
1.995262314968883,0.008432647242071835,14.12040100685387,-121.3284004114626
2.154434690031882,0.0231357944602531,14.61432242329188,-123.7067361174693
2.326305067153629,0.02507917458932522,15.01126705054583,-125.51995740168
2.511886431509577,0.03006864857221503,15.48684691758413,-127.2079751950092
2.71227257933203,0.008289200665642805,15.89448459064474,-129.557390039135
2.928644564625238,0.01671873694109335,16.28648556173272,-131.5384528581417
3.16227766016838,0.02737292150546818,16.62728691016417,-133.8365655413807
3.414548873833601,0.03305122949474375,17.00162996340979,-135.9195160070067
3.686945064519574,0.008927997843492148,17.33175411435819,-138.1914994271334
3.98107170553497,0.01215803456984955,17.57678046626113,-140.2973231908418
4.298662347082282,0.01396805431792831,17.80161744612882,-142.2273128551886
4.641588833612773,0.01622888211121541,18.10428737508667,-144.3364886720306
5.011872336272726,0.02651162148513256,18.31628401875016,-146.1871997671421
5.411695265464638,0.01711431505039432,18.50669366643515,-148.3118705874423
5.843414133735176,0.01247618579725739,18.7076419458933,-150.1249417756658
6.30957344480193,0.01522302507058531,18.86356582230981,-152.1543703256708
6.81292069057961,0.01929959415917402,19.00629987390467,-153.7848788882622
7.356422544596422,0.03522086314130694,19.09194303697251,-155.5647892786351
7.943282347242807,0.01493481409492495,19.25631744147755,-157.1947114737045
8.576958985908947,0.008912038598753613,19.33841839626013,-158.6467394634464
9.261187281287938,0.03059810752328736,19.40240974017007,-159.8241015812564
10,0.02194005488015138,19.47578029094561,-161.2185144217665
10.7977516232771,0.014469599674521,19.53525389334907,-162.706082393753
11.65914401179833,0.01463629729031019,19.60480426926078,-164.0285774901625
12.58925411794166,0.01840172746665246,19.67243497801887,-164.9942369529088
13.59356390878526,0.02536042036173946,19.67586854757984,-166.1651863546985
14.67799267622071,0.02237516270919272,19.72765590098918,-166.8449495411241
15.84893192461114,0.01743898911974115,19.77859133357936,-167.822906543499
17.11328304161781,0.02230051727904023,19.781699270136,-168.727152015365
18.47849797422293,0.03021491364692623,19.77585144655308,-169.7856423682072
19.95262314968879,0.02033399239013365,19.84905499035784,-170.4276038425865
21.54434690031882,0.03897926854166857,19.85142179625139,-170.9255026244481
23.26305067153627,0.02975887859418545,19.85967390025915,-171.7886855996997
25.11886431509583,0.02374383173246417,19.88164592556546,-172.4117973357258
27.12272579332027,0.03226991644526768,19.86343421498295,-172.7440600194034
29.28644564625238,0.02125061231593399,19.9110737073211,-173.4452002660661
31.6227766016838,0.0143814635893294,19.92579929430559,-173.9514975496629
34.14548873833601,0.004170218220544516,19.94785410868219,-174.3366315448971
36.86945064519578,0.03967098752989055,19.92093520120344,-174.9164074837256
39.81071705534978,0.01370930399063544,19.96331606992397,-175.5697611118105
42.98662347082277,0.9893917918623854,18.93561501331481,-177.2916710391038
46.41588833612773,2.008819776356082,17.8741254995647,173.7063950163431
50.11872336272726,0.3696513808105015,19.60908626505178,-155.9801908050781
54.11695265464638,2.328058905953099,17.54081014608453,177.5064279468673
58.43414133735176,0.9342996375764836,19.01874238467594,175.5199136033372
63.09573444801931,0.2639428437258278,19.72651350256515,-178.5898639359047
68.12920690579617,0.01807628678994754,19.96955829051665,-177.4524481328488
73.56422544596407,0.02636753263952116,19.97576773848355,-177.7646025688151
79.43282347242814,-0.007965666958636987,20.01467605228303,-178.0921677792275
85.76958985908948,-1.747671899107941,21.82958097663979,177.9007569740532
92.6118728128794,0.02063869997070995,20.02271384589066,-145.4233222677492
100,-7.315221158169391,27.57087589299747,-166.0443355250024
107.9775162327711,2.877037899020003,16.97213842286546,-158.531497979792
116.5914401179831,-0.5175413407239746,20.57008307192516,-160.7347853370455
125.8925411794166,-0.6358490868976934,20.68264367287928,179.8524315885141
135.9356390878527,-0.4759120181534094,20.50085862242777,-179.5447933552796
146.7799267622071,0.5189230202000108,19.46069411253828,-177.4660080370285
158.4893192461113,-0.3866274032276365,20.4178608259794,-176.4751146002355
171.1328304161781,-0.6165006521221827,20.66866844268498,179.5443714212047
184.7849797422291,0.01747962718160766,20.03205713806125,164.3213721707243
199.5262314968879,-1.089560346414133,21.16818294435505,164.3060036227072
215.4434690031885,-1.573746673281513,21.65019388855197,-168.1805442475225
232.6305067153629,0.8543922878703641,19.12740147200385,172.2232679890277
251.188643150958,-0.06812585213483749,20.09789307426331,-179.6855708226144
271.227257933203,0.05765856344713567,19.95146760185143,-177.642228572068
292.8644564625238,-0.2915415943904053,20.32911891368535,-175.0026590978975
316.227766016838,-1.231474924425527,21.31181596495723,175.8706903663719
341.4548873833605,0.6043188779139943,19.36288982811424,177.5466173616488
368.6945064519574,1.329874132856579,18.63285012928054,-179.2740153389819
398.1071705534974,-0.1914142524009289,20.24507411558151,-176.6630504659173
429.8662347082273,0.794689696622185,19.20342656941626,-179.8617420760318
464.1588833612778,0.4032693367827689,19.57066443789561,177.6990074264111
